Article Title,Keywords,Abstract,Publication Year,Research Areas,label
A FRAGILITY THEORY OF TRADEMARK FUNCTIONALITY,; BRAND; GOODS; CONSUMERS; MEDICATION; PREFERENCE; ANTITRUST; TASTE,"According to functionality doctrine, trademark protection cannot be granted for any feature that is essential to a product's use or purpose, or that affects the product's cost or quality. But because of the placebo effect, even seemingly inert names and symbols are imbued with precisely this kind of power. In fact, a wide variety of realworld phenomena challenge the prevailing understanding of trademark functionality, from the social uses of high-fashion marks to the cost reductions enabled by certification marks. More fundamentally, a valuable trademark of any kind should act to reduce search costs for consumers and improve quality through reputation. And yet, rather than leading to invalidation, all of these well-documented functionalities are apparently tolerated by trademark law-sometimes merely ignored, but often celebrated explicitly. This Article proposes a more unified theory of functionality: fragility. Some product features affect cost, quality, use, and purpose in ways that are non-fragilethe effects would persist even if every producer were to copy the same feature. But some features affect the product in ways that are fragile-the effects would be degraded or broken through unchecked copying. In reality, only non-fragile functionalities are actually prohibited, whereas fragile functionalities are permitted and even encouraged. In a manner surprisingly similar to patent or copyright law, trademark law appears to carefully distinguish between improvements that require its protection in order to manifest, and those that do not. This fragility theory not only better explains real-world case outcomes and the functionality doctrine's full history, but also offers a conceptual improvement that can be applied to all types of trademarks. A generic term, for example, exhibits non-fragile linguistic functionality. Moreover, fragility theory provides consistent answers to divisive boundary issues in trademark law, such as overlapping protection under copyright, anti-dilution rights, and post-sale confusion doctrine. At the same time, recognizing this fragility pattern calls attention to potentially adverse consequences in terms of distributive justice and market competition-consequences that trademark law itself may not be able to remedy.",2021,Government & Law,0
Different Antiplatelet Strategies for Radial Artery Protection After Transradial Coronary Angiography-A Prospective Observational Cohort Study,radial artery occlusion; transradial access; single-antiplatelet therapy; dual-antiplatelet therapy; coronary angiography; CARDIAC-CATHETERIZATION; PATENT HEMOSTASIS; FEMORAL APPROACH; ACCESS SITE; OCCLUSION; INTERVENTION; PREVENTION; METAANALYSIS; ANGIOPLASTY; PREDICTORS,"IntroductionRadial artery occlusion (RAO) after transradial access is a common thrombotic complication. A meta-analysis has proven that RAO incidence in transradial coronary angiography (TRCA) settings was significantly higher than that in percutaneous coronary intervention settings. This prospective observational cohort aimed to evaluate radial artery protection after TRCA with different antiplatelet strategies. MethodsA total of 2,316 patients undergoing TRCA was enrolled and divided into two groups: single-antiplatelet and dual-antiplatelet groups. Radial artery patency was evaluated by ultrasound before, at 24 h, and 30 days after TRCA. The primary endpoint was RAO incidence at 30 days after TRCA. ResultsA total of 66 RAO was found on ultrasonography at 30-day follow-up (incidence: 2.8%). In the dual-antiplatelet group, the rate of RAO was significantly lower compared with the single-antiplatelet group (1.8 vs. 4.0%; odds ratio (OR): 0.41; 95% confidence interval (CI): 0.24-0.70; p = 0.001). The rate of self-recanalization in the dual-antiplatelet group was significantly higher than that in the single-antiplatelet group (73.68 vs. 44.12%, p < 0.001). However, there was no statistical difference in delayed occlusion of radial artery between the two groups (0.5 vs. 0.2%, p = 0.140). Unexpectedly, this study also showed no significant difference in bleeding risk between the groups. ConclusionDual-antiplatelet therapy for 1 month after TRCA was associated with a reduced risk of RAO and deemed safe.",2022,Cardiovascular System & Cardiology,0
Scenario analysis of hydrofluorocarbons consumption and emission reduction in China's mobile air-conditioning sector,Mobile air-conditioning; Gompertz model; Forecasting; Usage of Hydrofluorocarbons (HFCs); Cost of Hydrofluorocarbons (HFCs) abatement; ,"The automobile air conditioning industry is an important consumption area of hydrofluorocarbons (HFCs), and the analysis of the use and emission reduction of HFCs in this industry is of great significance for environmental protection. This study aims to measure and analyze the HFC consumption and emission reduction in China's MAC industry and the cost of emission reduction in automobile enterprises through an in-depth analysis, to provide a scientific basis for the formulation of relevant policies and to support the country in achieving HFC emission reduction targets in the field of environmental protection. In this study, the Gompertz model combined with the vehicle survival rate Weibull was used to predict the vehicle ownership and sales in China, and then the HFC consumption and emission reduction in China's MAC industry and the cost of emission reduction in automobile enterprises were measured and analyzed with reference to the experience of relevant domestic and foreign measurement models. The results show that under the four scenarios of R27-X29, R29-X29, R29-X29, and R29-X35, the cumulative use of HFCs will be reduced by 61.44%-73.19%, and the cumulative emission will be reduced by 51.85%-64.55% in the period of 2023-2060, while the cumulative abatement cost of the automobile enterprises in the period of 2023-2060 will be RMB 419.31-481.02 billion. 481.02 billion yuan. The adoption of a policy banning HFCs refrigerants in M1 and N1 vehicles has a significant effect on reducing HFCs consumption and emissions, and the abatement cost will decrease with the expiration of new refrigerant patents, increased demand, and technological advancements.",2024,Energy & Fuels,0
"Design, Project, and Realization of a Prototype of an Energy-efficient Prefabricated House IDA I. using Renewable Energy Sources",combined building-energy systems (CBES); renewable energy sources (RES); energy (solar) roof (ESR); ground heat storage (GHS); peak heat source; panels with integrated thermal barrier; ground heat recovery; air heat exchanger; cooling circuits; GROUND HEAT-STORAGE; SOLAR; SYSTEMS; SOUTH,"In this paper, we describe our experience with the design, project, and implementation of a prototype of an energy-efficient prefabricated house IDA I. using renewable energy sources (RES). This prototype is the result of our research in the field of energy (solar) roofs, ground heat storages, and active thermal protection. The client of the applied research, the owner of the prefabricated plant, has purchased the license for the patented ISOMAX system. Experience from the implementation of buildings according to this system shows the high potential using of RES but also the shortcomings caused by the variable, unstable, hardly predictable solar and geothermic energy stored in ground heat storages. The production of panels ISOMAX in the lost form from expanded polystyrene was too complicated, time-consuming, and often showed problems from a static point of view. Our research aimed to design an innovative, original, and reliable mode of operation for the IDA I. prefabricated house prototype under development, which in synergy with the building management system, will optimize the mode of operation of all heat/cooling sources and energy systems. Another task was to innovate the design of the envelope panel with active thermal protection, eliminate the shortcomings of the technical design of the ISOMAX panel, and adapt as many components as possible to prefabrication. The prototype of the energy-efficient prefabricated house IDA I. using RES represents an innovative energy-secure and self-sufficient construction option compared to buildings with fossil fuel-based heating/cooling sources.",2022,Engineering,0
Love of novelty: a source of innovation-based growth horizontal ellipsis or underdevelopment traps?,Cultural preferences; macro-based behavioral economics; innovation and growth cycles; endogenous growth; underdevelopment traps; E71; O40; RESEARCH-AND-DEVELOPMENT; PATENT PROTECTION; KNOWLEDGE SPILLOVERS; CULTURE; CYCLES; POLICY; MODEL,"This study develops a new dynamic general equilibrium model to explore the role of people's love of novelty as a cultural preference in innovation and innovation-based growth. The model considers (a) an infinitely lived representative consumer who has standard love-of-variety preferences for differentiated products and additional love-of-novelty preferences for new products and (b) technological progress driven by two costly and time-consuming innovation activities, new product development and existing product development. We demonstrate that consumers' love of novelty is a source of innovation-based growth, wherein economies with a moderate love of novelty can achieve innovation and long-run growth through endogenous cycles between periods in which new product development is active and those in which existing product development is active. However, if love of novelty preference is too weak or too strong, the economy is caught in an underdevelopment trap with less innovation and no long-run growth. We also provide some suggestive empirical evidence that supports our theoretical predictions.",2024,Business & Economics,0
Evolution through intellectual property rights in the aquaculture sector: reshaping aquaculture production networks,Intellectual property; Aquaculture industry; Intellectual capital; Blue sustainability; Market size; UNIT-ROOT TESTS; OCCUPATIONAL-HEALTH; PANEL; COINTEGRATION; POWER,"In aquaculture, the intellectual property issues are the risks to the stability of copyright, trademark, patent, and other domains of intellectual property rights. As a basis of the intellectual property of marine law in the European Union region (EU27), the interests and needs of creators and the public are in balance. When such a balance is not upheld, then there is a compromise of the protection of intellectual property rights. Thus, the novelty can be formulated as follows: The analysis of the impact of the intellectual property factors on the aquaculture industry growth in the EU13 and EU14 during the 1990-2023 period. The main findings were estimated using ordinary least squares (OLS), two-stage least squares (2SLS) and robust least square (RLS) to overcome the endogeneity problem. The degree of the impact reveals that the protection of IPRs and ICRs, that is, intellectual property rights and intellectual capital rights, significantly influence the growth of the aquaculture industry in the EU14 developed countries rather than in the EU13 developing countries. However, the actual values of the three estimators reveal that economic growth, market size, and governance significantly affect the aquaculture industry growth in EU13 developing countries than in EU14 developed countries. Therefore, according to the conclusions of this research, the policies that should be prioritized by the policymakers in EU13 developing countries are those that focus on the improvement of the development of intellectual property rights and intellectual capital rights plays. As it is suggested in this research, it is recommended that policymakers in EU14 developed countries enhance the blue governance, marine market size, and the development of aquatic economy and blue farming.",2024,Science & Technology - Other Topics; Environmental Sciences & Ecology,0
Does the import of green products encourage green technology innovation? Empirical evidence from China,Green product imports; Green technology innovation; Moderating effect; Green patents; RESEARCH-AND-DEVELOPMENT; INTERNATIONAL-TRADE; CAPITAL GOODS; COMPETITION; PERFORMANCE; IMPACT; FIRMS; SPILLOVERS; PROTECTION; QUALITY,"Green technology innovation capability is an important support for the realisation of Sustainable Development Goals, and it is of great significance to discuss the impact of green product imports on green technology innovation policy formulation in importing countries. Based on the panel data of 30 provincial-level regions in China from 2012 to 2020, this paper empirically examines the effect and mechanism of green product imports on green technology innovation. The empirical results show that (1) the import of green products significantly constrain China's green technology innovation. After a series of robustness tests and endogeneity tests, the conclusion is still valid, and the inhibitory effect is mainly manifested as the import technology dependence effect. (2) From the impact of green product imports on different types of green technology innovation, the inhibition effect of incremental-type green technology innovation with lower innovation is stronger than that of radical-type technology innovation with higher innovation. (3) Further test of the moderating effect shows that green R&D investment weakens the inhibitory effect of green product import in the regions with higher and lower economic development levels, while the moderating effect of intellectual property protection only exists in the regions with less economic development. (4) The heterogeneity analysis shows that the import of different types of green products has a significant difference in the impact of green technology innovation. The finding of this study provides useful suggestions for formulating reasonable policies for promoting and protecting green technology innovation.",2024,Business & Economics; Public Administration,0
Does environmental regulation spur innovation? Quasi-natural experiment in China,Q50; Q51; Q53; Q55; Q56; Q58; Environmental regulation; Patent applications; Technological innovation; Difference-in-difference; Two Control Zones; TRADE LIBERALIZATION; PRODUCTIVITY GROWTH; INVESTMENT-EVIDENCE; EXPORTS EVIDENCE; AIR; PERFORMANCE; POLLUTION; COMPETITIVENESS; IMPACTS; CENSUS,"The relationship between stringent environmental regulation and the innovation capability of enterprises has been controversial. Treating the target-based sulfur dioxide emissions control policy implemented for the Two Control Zones after 2000 as a quasi-natural experiment, we exploit the difference-in-difference approach to investigate the causal relationship between stringent environmental regulation and techno-logical innovation using the disaggregated Chinese manufacturing firm-level data between 1998 and 2007. Our estimation results indicate that the target-based environmental policy effectively limits the sulfur dioxide emissions of regulated enterprises and facilitates their technological innovation capability. The conclusion that strengthening environmental regulation has contributed to the technological innova-tion capability of enterprises is still robust after ruling out the effect of China's integration into the World Trade Organization. However, enterprises with different characteristics might respond heterogeneously to strict environmental regulation. The estimation results of the difference-in-difference-in-difference confirm that heavily polluting enterprises and those exposed to greater environmental protection pres-sure have experienced more technological progress. Further analyses demonstrate that enterprises' tech-nological innovation triggered by strict environmental regulation dramatically reduces their non-clean energy consumption and improves their environmental performance. Our research sheds light on the causal relationship between environmental regulation and technological innovation and provides crucial references for governments within developing economies to design scientific environmental policies aimed at searching for win-win solutions for economic growth and eco-environmental protection.& COPY; 2023 Elsevier Ltd. All rights reserved.",2023,Development Studies; Business & Economics,0
"Intellectual property rights, non-market considerations and foreign R&D investments",Intellectual property rights; Foreign R & D investments; Political capabilities; Intercountry perceptions; Innovation policy; POLITICAL CONNECTIONS; INTANGIBLE ASSETS; LOCATION CHOICE; INTERGOVERNMENTAL NETWORK; COMPETITIVE ADVANTAGE; STRATEGY RESEARCH; PATENT RIGHTS; TRADE-FLOWS; KNOWLEDGE; PROTECTION,"Prior research has focused on how firms use a variety of organizational mechanisms to protect their R&D investments from misappropriation risks in foreign countries. Little is known, however, about how firms can rely on non-market factors to induce preferential treatment by host government authorities, thereby protecting their intellectual property overseas. In this paper, we investigate two such non-market factors, one at the country level, the other at the firm level, that are likely to influence the choice of where firms locate their innovation activities: host country inclination towards the firm's home country and the firm's political capabilities, respectively. We thus examine how IPR policies and non-market factors interact in protecting firm innovation from misappropriation and in making countries more attractive for innovation-related activities. We find support for our predictions in a sample of 1,341 foreign R&D investments made by 163 firms from 14 home countries over the period 2003-2016.",2022,Business & Economics,0
Transfer learning enables the molecular transformer to predict regio- and stereoselective reactions on carbohydrates,; LANGUAGE; MODEL,"Organic synthesis methodology enables the synthesis of complex molecules and materials used in all fields of science and technology and represents a vast body of accumulated knowledge optimally suited for deep learning. While most organic reactions involve distinct functional groups and can readily be learned by deep learning models and chemists alike, regio- and stereoselective transformations are more challenging because their outcome also depends on functional group surroundings. Here, we challenge the Molecular Transformer model to predict reactions on carbohydrates where regio- and stereoselectivity are notoriously difficult to predict. We show that transfer learning of the general patent reaction model with a small set of carbohydrate reactions produces a specialized model returning predictions for carbohydrate reactions with remarkable accuracy. We validate these predictions experimentally with the synthesis of a lipid-linked oligosaccharide involving regioselective protections and stereoselective glycosylations. The transfer learning approach should be applicable to any reaction class of interest. Organic reactions can readily be learned by deep learning models, however, stereochemistry is still a challenge. Here, the authors fine tune a general model using a small dataset, then predict and validate experimentally regio- and stereo-selectivity for various carbohydrates transformations.",2020,Science & Technology - Other Topics,0
Specialized human resources training and innovation in Latin America: the case of biotechnology,Staff development; Education; Biotechnology; Latin America; SCIENCE; ALLIANCES; KNOWLEDGE; NETWORKS,"Specialized human resources training is an essential foundation for the economic and social development of a country. Graduates are expected to contribute to product and process innovation in the industry in the benefit of society. Hence, the purpose of this investigation consisted in determining whether the graduation of highly specialized human resources (master's and PhDs) in areas associated with science and technology in Latin America is related to the generation of biotechnology IP 5 patent families (2006-2013). IP 5 families are a relevant indicator of a country's share of inventions registered in one of the five most important intellectual property offices around the world. Results showed an alpha=0.05 positive association for the study period; calculations used the Q statistic and an chi(2) distribution with (2-1) (2-1) degrees of freedom. Even though results suggest a positive scenario, in general, the region presents a gap in comparison with other economic regions; therefore, specialized training activities should be accompanied with other actions such as the promotion of research and development, protection of intellectual property, and technological management, among others.",2020,General & Internal Medicine; Research & Experimental Medicine; Surgery,0
Effect of media attention on corporate green technology innovation: mechanism and evidence from China,Media attention; Negative media coverage; Green technology innovation; Consumer choice pressure; M14; M21; O32; SOCIAL-RESPONSIBILITY; PERFORMANCE EVIDENCE; IMPACT; CONSTRUCTION; MANAGEMENT; EFFICIENCY; COVERAGE; SLANT; BAD,"This study explores the effect of media attention on corporate green technology innovation. It uses the green patent application data of listed companies in China's heavy polluting industries between 2006 and 2020, with negative media coverage as a proxy variable for media attention, and employs a staggered difference-in-differences model. The results demonstrate that negative media coverage significantly and positively affects corporate green technology innovation. The mechanism analysis results show that negative media coverage drives green technology innovation through consumer purchasing choice pressure. The role of negative media coverage in promoting corporate green technology innovation is more apparent in regions with a high level of marketization and strong environmental protection intentions among residents. State-owned enterprises and those adopting proactive environmental strategies primarily manifest the positive impact of negative media coverage on green technology innovation. This study provides a new perspective for understanding the role of media attention on corporate governance by introducing green technology innovation and new insights for guiding policymakers and managers to effectively implement green innovation.",2024,Business & Economics; Mathematical Methods In Social Sciences,0
The impact of intellectual property protection on the performance of fossil fuel extraction and production companies in developing countries,Fossil fuels companies; Intellectual property; Fossil fuels expenses; Innovation efficiency; China; ,"This paper seeks to evaluate how intellectual property (IP) influences the sustainable performance of Chinese companies involved in fossil fuel exploration and production. The study meticulously delineates specific variables aimed at advancing sustainability through strategic IP measures. Utilizing data spanning from 2010 to 2021 and employing the Cross-Sectionally Augmented Autoregressive Distributed Lag (CS-ARDL) approach, we reveal a nuanced relationship between innovation efficiency and energy costs. A mere 1% improvement in innovation efficiency corresponds to a 0.6% short-term and 0.4% long-term reduction in energy costs. Larger workforces contribute to increased energy consumption, investments drive energy-intensive processes, and profitability accelerates production, amplifying energy demands. Additionally, we uncover the adverse impact of Information and Communication Technology (ICT) expenses on energy costs, emphasizing the transformative potential of digitalization. To enhance sustainability, we recommend strengthening IP strategies, providing incentives for the commercialization of green patents, leveraging green financing, and adopting Environmental, Social, and Governance (ESG) principles to attract ethical investors. Equipping a skilled workforce through training programs facilitates the integration of eco-friendly technologies with intellectual property strategies.",2024,Environmental Sciences & Ecology,0
The role of green technology innovation on employment: does industrial structure optimization and air quality matter?,Green technology innovation; Urban employment; Employment effect; Developing countries; Air quality; Industrial structure optimization; GROWTH; ENERGY; IMPACT; ENVIRONMENT; EFFICIENCY; POLLUTION; ECONOMY,"Although green technology innovation is an important means to balance the environment and economy, few studies have analyzed the employment effects of green technology innovation in developing countries. Therefore, this paper employs the panel data of 286 prefecture-level cities in China from 2006 to 2017 to empirically test the impact of various green technology innovations on urban employment. Meanwhile, from the perspectives of air quality and industrial structure optimization, the influencing mechanism of green technology innovation on employment is deeply analyzed. The results reveal that all kinds of green technology innovation can significantly increase the employment level of the city, and the promotion effect is strongest in the 2nd year after the patent application. According to the results of heterogeneity analysis, key cities of environmental protection and non-resource cities are more likely to generate positive employment effects through green technology innovation. Finally, the mediation effect test model confirms that green technology innovation can promote employment by improving air quality and causing industrial structure optimization.",2023,Environmental Sciences & Ecology,0
Place-based policy and green innovation: Evidence from the national pilot zone for ecological conservation in China,Place-based policy; National pilot zone for ecological conservation; Green innovation; China; Difference-in-differences; EMISSION,"This study examines the impact of the National Pilot Zone for Ecological Conservation (NPZEC) policy in China on green innovation (GI) using panel data from 282 Chinese cities during the period 2011-2019. Employing a difference-in-differences (DID) model, we find that the NPZEC policy positively influences GI, leading to a significant increase of approximately 23.98% in the number of green patents in cities where the policy is implemented. Mechanism tests reveal that the NPZEC policy enhances fiscal support and promotes economic agglomeration, thereby fostering GI. Heterogeneity analyses indicate that the NPZEC policy prioritizes quantity over quality, with a stronger impact observed in western cities, low administrative level cities, and cities with lower economic development. Additionally, our findings highlight that higher public environmental attention and stronger intellectual property (IP) protection enhance the promotion effect of the NPZEC policy on GI. Lastly, the findings indicate that the NPZEC policy has a negative impact on GI in neighboring cities. Our study provides empirical references for policymakers to scientifically implement place-based policies and effectively promote GI in the future.",2023,Construction & Building Technology; Science & Technology - Other Topics; Energy & Fuels,0
"AN OVERVIEW OF BENEFITS AND RISKS IN OPEN INNOVATION PROJECTS AND THE INFLUENCE OF INTERMEDIARY PARTICIPATION, DECISION-MAKING AUTHORITY, EXPERIENCE, AND POSITION ON THEIR PERCEPTION",Open innovation; intermediaries; benefits; decision-making; experience; risks; RESEARCH-AND-DEVELOPMENT; ABSORPTIVE-CAPACITY; PRODUCT DEVELOPMENT; MANAGEMENT-PRACTICES; SERVICE INNOVATION; PATENT PROTECTION; MEDIATING ROLE; TECHNOLOGY; KNOWLEDGE; PERFORMANCE,"This paper presents an exploratory study investigating the influence of the factors (1) intermediary participation, (2) decision-making authority, (3) position in the enterprise, and (4) experience in open innovation on the perception and assessment of the benefits and risks expected from participating in open innovation projects. For this purpose, an online survey was conducted in Germany, Austria and Switzerland. The result of this paper is an empirical evidence showing whether and how these factors affect the perception of potential benefits and risks expected within the context of open innovation project participation. Furthermore, the identified effects are discussed against the theory. Existing theory regarding the benefits and risks of open innovation is expanded by (1) finding that they are perceived mostly independently of the factors, (2) confirming the practical relevance of benefits and risks, and (3) enabling a finer distinction between their degrees of relevance according to respective contextual specifics.",2022,Business & Economics,0
Determinants of the grant lag and the surrender lag of horticultural crop plant breeders' rights applications: Survival analysis with competing risks,competing risks; Fine and Gray model; survival analysis; the duration of Plant Breeders' Rights certificates; the length of Plant Breeders' Rights examination process; PATENT EXAMINATION; CUMULATIVE INCIDENCE; VARIETY PROTECTION; DURATION ANALYSIS; HAZARDS MODEL; SUBDISTRIBUTION; CHINA,"Obtaining a Plant Breeders' Rights (PBR) certificate provides horticultural institutions the exclusive right to produce and reproduce new varieties, which directly motivate new plant variety innovations. This study investigates how the grant and surrender lag of PBR certificates is influenced by the crop type and applicant characteristics using the Canadian Food Inspection Agency horticultural crop PBR application data for the period 1992-2014. Results from the Fine and Gray subdistribution hazard model reveal that the grant lag and surrender lag of Canadian PBR applications significantly vary by the country of origin of the applicant, whether the applicant is a public institution or private company/individual, horticultural crop types, and the decades when applications are filed. The policy implications of the results provide useful information to stakeholders of the Canadian Plant Breeders' Rights System regarding how the lifespan of PBRs is influenced by crop type and applicant characteristics.",2020,Agriculture; Business & Economics,0
"Movies, stigma and choice: Evidence from the pharmaceutical industry",antipsychotics; destigmatization; edutainment; global health; mental health; AUTISM SPECTRUM DISORDER; 2ND-GENERATION ANTIPSYCHOTICS; ATYPICAL ANTIPSYCHOTICS; CELEBRITY ENDORSEMENTS; PATENT PROTECTION; PUBLIC-HEALTH; CHILDREN; PRODUCT; DEMAND; MEDIA,"Do movies reduce stigma, increasing healthcare product choices offered by firms? We provide causal evidence on this question in the context of Indian pharmaceutical markets. For unpacking these effects, we use an exogenous shock to the market due to the release of a Bollywood blockbuster movie - My Name is Khan (MNIK) where the protagonist, superstar Shahrukh Khan, suffers from Asperger's Syndrome (AS). Using a difference-in-differences design, we find a positive and statistically significant effect of MNIK (between 14% and 22% increase in variety sold and prescribed) on product differentiation and choices in the market for antipsychotic medicines used to clinically treat AS. Results are consistent using alternative controls, a placebo treatment-based test and with a variety of other robustness checks. Our findings document likely for the first-time, supply side responses to edutainment and suggests potential associated welfare effects in healthcare markets characterized by sticky demand. Implications for global health and public policy given worldwide concerns around a mental wellness epidemic with Covid-19 are discussed.",2023,Business & Economics; Health Care Sciences & Services,0
Norm conflicts as governance challenges for Seed Commons: Comparing cases from Germany and the Philippines,Seed commons; Regime complex; Norm interplay; Biodiversity governance; Intellectual property rights; Access and benefit sharing; GLOBAL GOVERNANCE; GENETIC-RESOURCES; FOOD; AGRICULTURE; ACCESS; FRAGMENTATION; ORGANIZATION; NETWORKS; PROTOCOL; COMPLEX,"A Seed Commons approach can help to highlight the common struggle of diverse seed initiatives in the Global North and South in light of the dominant pathway of enclosure and commodification of seeds that threatens food sovereignty and cultivated plant-genetic diversity. In this paper, the Seed Commons framework is applied to show how the conflicting norms and rules of the international regime complex surrounding seeds shape the scope of action for Seed Commons in Germany and the Philippines. The analysis shows that the patent and variety protection regimes have strongly influenced the design of national seed marketing and threaten to outlaw practices of Seed Commons. Despite limited practical impact for Seed Commons initiatives (so far), the norms of the Nagoya Protocol and the Seed Treaty have contributed to exceptions in national seed marketing law that provide essential scope of action for Seed Commons initiatives in Europe and the Philippines. (C) 2021 The Author. Published by Elsevier B.V.",2021,Environmental Sciences & Ecology; International Relations; Government & Law; Public Administration,0
The impact of international talent on environmental pollution: Firm-level evidence from China,International talent; Pollution emission intensity; Technological progress; Green patent; Environmental Awareness; PROMOTE INNOVATION; SELF-REGULATION; IMMIGRATION; EDUCATION; PERFORMANCE; INVESTMENT; DIVERSITY; EMISSIONS; NETWORKS; SKILL,"Environmental pollution affects people's quality of life and health. Improving environmental awareness and developing green technologies are the key measures to solve the pollution problem. Combining the pollution emission database of Chinese industrial enterprises and the survey data on the scale of international talent inflow, we empirically test the impact of international talent influx on corporate pollution emission behavior and its influence channels. We have found that increasing the scale of international talent inflow significantly reduced the intensity of corporate pollution emissions, and the potential channels are to promote corporate technological progress, improvement of environmental protection concept, and export higher-quality products. Heterogeneity analysis found that the inflow of international talents has a significant inhibitory effect on the pollution emission intensity of enterprises in high human capital intensity and high pollution intensity industries, and talents from developed countries are more conducive to reducing the pollution emission intensity of enterprises. This paper proves that attracting international talents is an effective way to improve environmental pollution and achieve green and sustainable development.",2023,Business & Economics,0
Biotechnology and Bioprocesses: Their Contribution to Sustainability,bioeconomy; bioprocesses; applications; policy; social welfare; sustainability; BIOBASED ECONOMY; PROPERTY-RIGHTS; CELL-CULTURES; IDENTIFICATION; BIODIVERSITY; ENVIRONMENT; TECHNOLOGY; STRATEGIES; INDUSTRIAL; BIOMASS,"Significant advancements in biotechnology have resulted in the development of numerous fundamental bioprocesses, which have consolidated research and development and industrial progress in the field. These bioprocesses are used in medical therapies, diagnostic and immunization procedures, agriculture, food production, biofuel production, and environmental solutions (to address water-, soil-, and air-related problems), among other areas. The present study is a first approach toward the identification of scientific and technological bioprocess trajectories within the framework of sustainability. The method included a literature search (Scopus), a patent search (Patentscope), and a network analysis for the period from 2010 to 2019. Our results highlight the main technological sectors, countries, institutions, and academic publications that carry out work or publish literature related to sustainability and bioprocesses. The network analysis allowed for the identification of thematic clusters associated with sustainability and bioprocesses, revealing different related scientific topics. Our conclusions confirm that biotechnology is firmly positioned as an emerging knowledge area. Its dynamics, development, and outcomes during the study period reflect a substantial number of studies and technologies focused on the creation of knowledge aimed at improving economic development, environmental protection, and social welfare.",2020,Engineering,0
ARPEC: A novel staggered perforated permeable caisson breakwater for wave absorption and harbour flushing,Perforated caisson breakwater; Physical modelling; Numerical modelling; Reflection coefficient; Transmission coefficient; RUBBLE-MOUND; QUAY-WALL; REFLECTION; GENERATION; EFFICIENCY; MODEL,"Perforated multichamber caisson breakwaters are widely used for deep water harbour protection from waves, causing a partial dissipation of wave energy, hence reducing wave reflection. The innovative patented geometry presented in this paper, the ARPEC, is an Anti Reflection PErmeable Caisson breakwater that allows a significant wave energy dissipation and a hydraulic connection between the sea side and the port side by means of a labyrinthine pattern of offset openings in all external and internal walls. The hydraulic response of this innovative structure is evaluated by means of both 2D physical and numerical models. It is shown that, when compared with traditional impermeable perforated caissons, the marginal increase of wave transmission (C-T = H-T/H-I in the approximate range of 0.1-0.2, varying with wave period) is compensated by a slight reduction of wave reflection (C-R = H-R /H-I in the approximate range of 0.3-0.6, varying with wave period) and by an enhanced water circulation in the sheltered basin, which is beneficial for flushing of microtidal harbours.",2021,Engineering,0
TRIPS waiver of COVID-19 vaccines: Impact on pharmaceutical industry and what it means to developing countries,developing countries; public Health; TRIPS; vaccines; waiver; PUBLIC-HEALTH,"The WTO was formed in 1995 and since then countries have abide by Trade Related Aspects of Intellectual Property Rights (TRIPS). The agreement provides for comprehensive plan for patenting and protection including those of medical supply units including vaccines and diagnosis. Recently developing countries such as India and South Africa have demanded TRIPS waiver for access to vaccines for all the developing countries The TRIPS waiver demanded, would apply to vaccines, diagnosis, and treatment related to COVID-19. The waiver is important as it would allow member state in researching, manufacturing, and supplying of vaccines. The proposal by the developing countries for temporary waiver of IP rights argues that IP could impede the supply of COVID-19 drugs and vaccines. However, there is no near consensus as most of the developed countries opposed this stance and they even argue that waiving TRIPS is not going to ramp up the manufacturing process. The pharmaceutical industry is also against this stance of developing countries, they put their argument forward that waiving of the IP will inhibit research and development of future prospects.",2021,Government & Law,0
A New Method of Regulation of Loads Acting on the Shaft Lining in Sections Located in the Salt Rock Mass,mine shaft; salt rock; leaching; ,"Rock salt is characterized by specific geomechanical and rheological properties. Layers of rock salt at depths of over 900 m cause problems with shaft lining deformation. Methods of shaft lining protection used to date (e.g., in the Sieroszowice mine) have not been effective enough. The research presents a patented and copyright protected concept of a shaft lining construction that can be used in rock masses with strong rheological properties and susceptibility to leaching. A high value of convergence in salt rock mass is a reason for serious problems with shaft lining stability. Numerous trials have been done to provide appropriate shaft lining for salt layers, especially to ensure proper geometry of shaft members and conveyance guidance. In the new shaft lining concept, the excessive rock creep into the outbreak inside the shaft diameter is removed by local and controlled leaching of the shaft cheeks by means of fresh water through a porous medium at the contact layer behind the watertight tubing lining. The article presents the methodology of performing tests on a special device and the test results.",2021,Energy & Fuels,0
