Article Title,Keywords,Abstract,Publication Year,Research Areas
Human Rights and Intellectual Property Protection: Their Interplay in Taiwan,Compulsory license; Copyright; Patent; Right to health; Right to information; ,"The interplay between human rights and intellectual property has been at the center of important debates in recent decades. This chapter includes three major sections to elaborate on Taiwan's efforts to implement human rights in its intellectual property regime. The first section introduces the interplay between human rights and intellectual property. Section 2 explores implementation of the right to information in copyright law. Section 3 addresses the interaction between the right to health and intellectual property protection. The chapter concludes by indicating that an over-protected IP system may be an obstacle in realizing human rights. If copyright is over-protected, it may guard the economic rights of creative intellectual activity, but its enforcement might impede access to published works for persons with print disabilities and lead to negative impacts on the right to information. In the public health field, without patents, existing medications and innovative pharmaceutical products which overcome diseases would not have been developed. Therefore, inadequate expansion and enforcement of IP protection might become a barrier to the accessibility and affordability of medications and adversely affect implementation of the right to health. For this reason, the international community pursues a proper balance between human rights and IP protection. As a member of the international community, Taiwan closely follows new developments at the international level and introduces amendments to its IP laws accordingly. Regardless of Taiwan's unique international status, it still manages to establish relevant mechanisms, consistent with international norms, in its domestic legal framework.",2019,Business & Economics
Multinational firms and the internationalization of green R&D: A review of the evidence and policy implications,Energy; R&D; Multinationals; Globalization; TECHNOLOGY; INNOVATION; DETERMINANTS; INDUSTRY; PANEL,"This paper presents novel empirical evidence on the internationalization of green R&D by multinational firms (MNCs), as measured by patents data. Using data on inventors' addresses for the set of 1200 MNCs firms patenting in green technologies over the 2004-2009 period, we find that about 17% of green patents result from MNCs R&D investments conducted outside their home countries. MNCs tend to locate their foreign green R&D activities in other OECD markets and in China, in particular in lightings and solar technologies. The empirical analysis reveals that the probability of conducting green R&D abroad increases with the host country's stringency of environmental regulation, market size and (green) R&D intensity. Also, relatively lower wages for scientists and engineers, and stronger protection for intellectual property rights in the host country increase the likelihood for MNCs to offshore green R&D. The paper concludes by discussing the policy implications of this changing global innovation landscape. (C) 2015 Elsevier Ltd. All rights reserved.",2015,Business & Economics; Energy & Fuels; Environmental Sciences & Ecology
Assessing private R&D spending in Europe for climate change mitigation technologies via patent data,R&D spending; R&D internationalisation; Patent; Climate change mitigation technologies; FOREIGN DIRECT-INVESTMENT; LOCATION CHOICE; INNOVATION; INTERNATIONALIZATION; STATISTICS; SYSTEMS; INDICATORS; PROTECTION; INDUSTRIAL; PATTERNS,"Detailed information on research and development (R&D) spending of the private sector is very limited, particularly when the interest is on small and medium enterprises or focuses on companies active in multiple technology areas. This lack of data poses challenges on the robustness of quantitative analyses and, as a consequence, on the reliability of evidences needed, for example, to support policy-makers in policy design. This paper proposes a patent-based method to estimate R&D expenditure in the private sector. This approach is then applied to assess private R&D spending in Europe in the context of climate change mitigation technologies. Findings show that R&D strategies in Europe are both country and technology dependent. Furthermore, R&D budget does not easily flow across national borders, but, when it is allocated to other countries, it is mainly done because of geographic or technological proximity.",2019,Information Science & Library Science
EVOLVING CONCEPTIONS OF COPYRIGHT SUBJECT MATTER,; INTELLECTUAL PROPERTY; COMPUTER-PROGRAMS; LAW; PROTECTION; SCOPE; FASHION; PATENTS,"Copyright is said to subsist under U.S. law in original works of authorship that have been fixed in a tangible medium of expression.(1) The statute enumerates eight categories of works that qualify for protection: literary works, musical works, dramatic works, pantomimes and choreographic works, pictorial, graphic and sculptural works, motion pictures and other audiovisual works, sound recordings, and architectural works. 2 Because the meta-category, works of authorship, is said to include these eight, 3 the enumerated categories would seem to be illustrative, not exhaustive. 4 This suggests that other types of intellectual creations may be eligible for protection as long as they satisfy copyright's originality and fixation requirements. But how far beyond the enumerated categories of works do U.S. copyrights extend?",2016,Government & Law
Antibiotic Mucidin from the Porcelain Mushroom Oudemansiella mucida versus Strobilurin from Strobilurus tenacellus (Agaricomycetes),Agaricomycetes; antifungal antibiotic; fungicide; higher Basidiomycetes; medicinal mushrooms; Mucidermin Spofa; mucidin; patent protection; strobilurin A; submerged cultivation; ,"The antifungal antibiotic mucidin was discovered in the 1960s at the Institute of Microbiology, Prague, Czech Republic, from a submerged culture of the higher Basidiomycetes porcelain mushroom Oudemansiella mucida. Both the production and isolation of mucidin were patented in 1970. Since the patent applications were submitted in 1965 and 1967, respectively, the first disclosed information on mucidin production appeared in 1969 and the mucidin structure was reported in 1979. A series of publications appeared in 1974, covering various aspects of mucidin: mode of action, antifungal spectrum, its effectiveness compared with other antibiotics, and its ability to induce morphological changes in both filamentous fungi and yeasts. Nevertheless, in 1977, German scientists described the antibiotic strobilurin A, which is identical to mucidin, and ignored the existence of mucidin. Strobilurin and its derivatives soon became well known because of their potential as powerful fungicides. The goal of this article is to document the priority of mucidin over strobilurin.",2016,Biochemistry & Molecular Biology; Plant Sciences; Mycology; Pharmacology & Pharmacy
Patent reforms and exporter behaviour: Firm-level evidence from developing countries,Intellectual property rights; INTELLECTUAL PROPERTY-RIGHTS; FOREIGN DIRECT-INVESTMENT; TECHNOLOGY-TRANSFER; PROTECTION; PRODUCTIVITY; INCREASE; TRADE; WORLD; SPILLOVERS; INNOVATION,"Using product-level data from 1997 to 2014, this paper examines the impact of patent reforms on the micro foundations of developing countries' export growth. In a difference-in-difference setting, we compare exporter characteristics in sectors intensive in intellectual property (IP) relative to non-IP-intensive sectors. We find that high-IP exports expanded along the extensive (firm-count) margin around the time of the reforms, but with the passage of time expansions along the intensive (firm size) margin took on more importance. Changes in the exporting behaviour of entrants were the key drivers, while incumbents were largely unaffected. Exporter entry and exit rates in IP-intensive sectors rose after the reforms, shifting the distribution of exporters towards larger and more IP-intensive firms. The first year survival rate of entrants was unaffected, but the destination entry rate of survivors fell. The findings signify that patent reforms did influence local productive and innovative capacity of developing countries.",2019,Business & Economics; International Relations
The Mondrian Cake: may Intellectual Property protect signature food?,culinary creations; copyright; industrial property; trade secrets; unfair competition; ,"Taking the example of the Mondrian Cake, in this article we distinguish recipes from presentation of signature dishes, as well as cookbooks, menus and restaurants and aim to know what can be protected by Intellectual Property (e.g. copyright, patents, designs, trademarks, trade dress, trade secrets, general rules against unfair competition or even nondisclosure agreements and fiduciary duties). Regarding copyright, we emphasise the difference between USA and Continental Copyright approach. For situations where some kind of Intellectual Property protection is possible, we question enforcement and if all type of protection is desirable. What we conclude about food applies to beverages.",2019,Government & Law
Intangible machines: Patent protection for software in the United States,Computers; intellectual property; patents; software; USA; LAW,"Intellectual property law has been interacting with software for over sixty years. Despite this, the law in this area remains confused and uncertain: this is particularly evident in patent law. Focusing on U.S. patent law from the 1960s through to the mid-1970s, this article argues that a key reason for this confusion relates to the particular way that the subject matter was construed. While the early discussions about subject matter eligibility were framed in terms of the question is software patentable?, what was really at stake in these debates was the preliminary ontological question: what is software? Building on work that highlights the competing ways that software was construed by different parts of the information technology industry at the time, the article looks at the particular way that the law responded to these competing interpretations and how in so doing it laid the foundation for the confusion that characterizes the area. When engaging with new types of subject matter, patent law has consistently relied on the relevant techno-scientific communities not only to provide the law with a relatively clear understanding of the nature of the subject matter being considered; they have also provided the means to allow the law to describe, demarcate, and identify that new subject matter. The inherently divided nature of the nascent information technology industry meant that this was not possible. As a result, the law was forced to develop its own way of dealing with the would-be subject matter.",2019,History & Philosophy of Science
Weighing intellectual property: Can we balance the social costs and benefits of patenting?,Balance; innovation; patent law; patent policy; social costs and benefits of intellectual property; INNOVATION; ECONOMICS; LAW,"The scale is the most famous emblem of the law, including intellectual property (IP). Because IP rights impose social costs on the public by limiting access to protected work, the law can be justified only to the extent that, on balance, it encourages enough creation and dissemination of new works to offset those costs. The scale is thus a potent rhetorical trope of fairness and objectivity, but also an instrument the law thinks with - one that is constantly invoked to justify or to question the extent of available IP protection. The balancing act that underlies the legitimacy of IP is, however, literally impossible to perform. Because we are unable to measure the benefits that IP has for inventors or the costs it has for the public, the scale has nothing to weigh. It conveys a clear sense that IP law can be balanced, but in fact propagates only a visible simulacrum of balance - one that is as empty as it is powerful.",2019,History & Philosophy of Science
Trust: A Model for Disclosure in Patent Law,; WOMEN INVENTORS; PRIVACY; TIES; PROPERTY; STRENGTH,"How to draw the line between public and private is a foundational, first principles question of privacy law, but the answer has implications for intellectual property, as well. This project is one in a series of papers about first-person disclosures of information in the privacy and intellectual property law contexts, and it defines the bound-ary between public and nonpublic information through the lens of social science -namely, principles of trust. Patent law's public use bar confronts the question of whether legal protection should extend to information previously disclosed to a small group of people. I present evidence that shows that current application of the public use bar privileges the confidentiality and control norms of industry while minimizing those no less strong norms common to lone entrepreneurs. This results in a general pattern: corporate inventors tend to win their public use cases; solo entrepreneurs tend to lose them. As a result, the public use bar has unintended negative effects, including discouraging experimentation and discriminating against inventors without the financial backing of corporate employers. These results are the direct effects of how courts determine the difference between public and nonpublic uses. This project proposes a new way of talking about, thinking through, and determining when previous disclosures bar subsequent patentability. In short, I argue that invention disclosures in contexts of trust retain their legal protection despite any ostensible loss of control or lack of formal confidentiality agreements. This proposal respects social network differences and will advance the goals of patent law and increase access to the innovation economy for all persons.",2017,Government & Law
The Translational Challenge in Medicine at the Nanoscale,drug discovery; research and development (R&D); target discovery; academia; pharma; translation; translational; nanoscale; nanomedicine; lead discovery programs; hit discovery; lead optimization; US Food and Drug Administration (FDA); World Health Organization (WHO); nanoparticles; nanoscale titanium dioxide; silver nanoparticles; nanotechnology; nanomaterial; nanodrug; nanotherapeutic; nanopharmaceutical; nanogovernance; regulation; US Patent & Trademark Office (PTO); patent; nanoproducts; toxicity; new chemical entity (NCE); investigational new drug application (INDA); new drug application (NDA); new molecular entity (NME); abbreviated new drug application (ANDA); Academic Drug Discovery Consortium (ADDC); intellectual property strategy; patent protection; license agreements; litigation; commercialization; valley of death; lead optimization; quality control; scale-up; preclinical testing; safety and efficacy; clinical trials; phase IV post-market surveillance; basic science; bench-to-bedside; translational medicine; translational science; preclinical research; the Bayh-Dole Act; the Hatch-Waxman Act; current Good Manufacturing Production (cGMP); irreproducible preclinical research; scientific integrity; scientific misconduct; crowd-sourced analysis; National Institutes of Health (NIH); Good Institutional Practice (GIP); Technology Transfer Offices (TTOs); publish-or-perish; trade secrets; physiologically-based pharmacokinetic (PBPK) modelling; pan-assay interference compounds (PAINS); antibodies; FDA's Center for Drug Evaluation and Research (CDER); Biologics License Applications (BLAs); Center for Biologics Evaluation and Research (CBER); Tufts Center for the Study of Drug Development of Clinical Trial; freedom-to-operate; nanopatent land grabs; nomenclature; terminology; nanocharacter; emerging technologies; regulatory guidance; National Center for Advancing Translational Sciences (NCATS); DRUG; PATENTS; FDA,,2016,Business & Economics; Engineering; Science & Technology - Other Topics; Government & Law; Research & Experimental Medicine
Growth and Convergence under Uniform and Varying Rate of Change of Technology,Economic growth; Convergence; Patents; TFP; Panel data; ECONOMIC-GROWTH; INSTITUTIONS; DETERMINANTS; ECONOMETRICS; PROTECTION; COUNTRIES; EMPIRICS; MODELS; RIGHTS,"This paper seeks to extend the debate on growth and convergence by estimating growth equations which allow for varying rate of change in technology (TFP) as well as the standard assumption of uniform rate. Rate of change of TFP is proxied using an index of patent protection. The dataset used in the paper includes 25 high income countries, 20 middle income countries, 28 low income countries and 16 countries which have transitioned across income categories during the time period considered in this paper. The results of the paper, estimated using the generalized method of moments (GMM) approach, show significant differences when the rate of change of TFP is assumed to be varying as opposed to being uniform. Significantly, the rate of convergence differs significantly across the subgroups of countries under the assumption of varying rate of change of TFP. Rates of convergence under the assumption of varying rates are clearly higher than those under the uniform rate for high income countries while the results for countries in other income categories are mixed.",2018,Business & Economics
"Appropriability mechanisms, innovation, and productivity: evidence from the UK",Productivity; innovation; intellectual property; appropriability; patents; CDM; RESEARCH-AND-DEVELOPMENT; INTELLECTUAL PROPERTY; FINANCIAL CONSTRAINTS; EMPIRICAL-ANALYSIS; PATENTS; FIRMS; KNOWLEDGE; COUNTRIES; SECRECY; SIZE,"We use an extended version of the well-established Crepon, Duguet, and Mairesse model [1998. Research, Innovation and Productivity: An Econometric Analysis at the Firm Level. Economics of Innovation and New Technology 7 (2): 115-158] to model the relationship between appropriability mechanisms, innovation, and firm-level productivity. We enrich this model in three ways: (1) We compare estimates obtained using a broader definition of innovation spending to those that use R&D spending. (2) We assume that a firm simultaneously innovates and chooses among different appropriability methods to protect the innovation. (3) We estimate the impact of innovation output on firm productivity conditional on the choice of appropriability mechanism. We find that firms that innovate and rate formal methods for the protection of intellectual property highly are more productive than other firms, but that the same does not hold in the case of informal methods of protection, except possibly for large firms as opposed to SMEs. We also find that this result is strongest for firms in the services, trade, and utility sectors, and negative in the manufacturing sector.",2017,Business & Economics
Promotion of technological development and determination of or biotechnology trends in five selected Latin American countries: An analysis based on PCT patent applications,Argentina; Biotechnology; Brazil; Chile; Commercialization; Cuba; Development; Latin America; Mexico; Patent cooperation treaty; Patents; PCT; Technology; INNOVATION; RIGHTS,"Background: Science and technology are two desirable elements for the economic and social development of a country. Biotechnology has a particularly important potential for economic development.Nevertheless, patent production in Latin America remains underdeveloped, which creates the need to analyze its trend and the efforts made to promote patent production. Therefore, the purpose of this study was, on the one hand, to determine trends in biotechnology-related PCT (Patent Cooperation Treaty) applications in Chile, Mexico, Argentina, Brazil, and Cuba from 1999 to 2015, and, on the other hand, to determine whether there is a relationship between the gross domestic expenditure on research and experimental development as a percentage of gross domestic product (GERD/GDP) and PCT applications for biotechnological inventions from 2007 to 2015 (in this case, the period under study was limited from 2007 to 2015, due to data availability for GERD/GDP in the five selected countries). Results: The first part of this study shows that the growth in biotechnology PCT applications has been moderate and gradual and the trend was fitted to a linear model. The second set of results shows that GERD/GDP is associated with biotechnology-related PCT applications issued during the study period with a significance level of alpha=0.01. Conclusions: Even though results indicate a gradual and modest progress, it is necessary that these five representative Latin American nations continue acting toward the protection of intellectual property in the area of biotechnology, especially by configuring strategies for further progress based on investments on research and development. (C) 2018 Pontificia Universidad Catolica de Valparaiso. Production and hosting by Elsevier B.V. All rights reserved.",2019,Biotechnology & Applied Microbiology
Intellectual property protection for plants: Raspberry,IP protection systems; plant variety rights; patent; raspberry; ariljska malina; ,"The production of raspberries is an important and highly valuable part of the agroindustry, which provides direct use of fruits and their application in the food processing and confectionery industry. Acceptance of plant intellectual property protection additionally influences the introduction of new development programs in this field and expansion of new products. Two approaches in plant intellectual property protection have been developed on a global level: the American approach that allows patentability for plants and the European approach that includes an exemption in relation to the patentability of plant varieties. In both cases, the protection of new varieties is regulated by a special system of variety protection. This article presents a comparison of those two plant variety protection systems and the comparison between Serbian and US raspberry production and innovation in this field, since these countries are among the five major producers of raspberries and raspberry products in the world; therefore, intellectual property protection of raspberry varieties is an especially important issue to them. The area harvested with raspberries in the United States is over 3000 ha smaller than in Serbia, but the production of this fruit is significantly higher. The continuous development of new varieties, primarily adapted to the growing conditions in US regions, has strongly increased the yield of this fruit.",2018,Agriculture
Study on the various intellectual property management strategies used and implemented by ICT firms for business intelligence,Business intelligence; competitive intelligence; IP strategies; organizational performance; patents; TECHNOLOGY; DISCLOSURE; PATENTS; INDUSTRY; MARKET,"Software technology is seeing enormous growth as it is used in all fields of technology. It is continuously evolving at a rapid pace and has a short span of the technological life cycle. The use of the software is not restricted only to information and communication technology but is used in all fields of technology. In many cases, the inventive step of a product or service lies solely in the software. Hence, the software plays a crucial role in all fields of technology. However, ease of copying poses a financial risk for the software industry, thereby creating major disincentives to the development of innovation. Still, the technology is changing very fast and firms investing in this technology expect quick returns on their innovation investments. Strategies for generating and managing intellectual property have subsequently taken center stage for information and communication technology companies, and patents have become an important feature providing maximum protection for any technology. Hence, intellectual property rights strategies in general and patenting strategies especially play a crucial role in the information and communication technology industry to be globally competitive. Firms never publish or disclose their intellectual property strategies; hence, this study makes use of the literature review to highlight various intellectual property management strategies used by information and communication technology firms for managing their intellectual property. These strategies can be offensive or defensive and may be used as proactive or reactive depending on various aspects such as market, territory, technology, or time. The insights provided in this work may help the research community from the IT domain in industry and academia to learn and modify their strategies for patent acquisition.",2019,Business & Economics
THE SIGNIFICANCE OF ORGANOSULFUR COMPOUNDS IN CROP PROTECTION: CURRENT EXAMPLES FROM FUNGICIDE RESEARCH,Agrochemicals; crop protection; fungicide; MULTICOMPONENT REACTIONS; ORGANIC INSECTICIDES; ACID-AMIDES; NEREISTOXIN; ISOCYANIDES; HERBICIDES,"Approximately 30% of today's agrochemicals contain at least one sulfur atom. This review article highlights the most important reasons for the fundamental role of sulfur functions in crop protection, such as the occurrence of sulfur in agrochemical pharmacophores, the application of sulfur-containing natural products as lead compounds, the role of sulfur in procidal action, fine-tuning of physico-chemical properties and patent breaking as well as the advantage of sulfur-containing heterocycles compared to their nonsulfur ring isosteres. Case studies from three different mode of action classes give proof, how state-of-the-art organosulfur chemistry enables the synthesis and influences the structure-activity relationships of fungicidally active compounds in the classes of Succinate dehydrogenase inhibitors, tubulin polymerization inhibitors and Cellulose synthase inhibitors.",2015,Chemistry
Copyright Protection and Cumulative Creation: Evidence from Early Twentieth-Century Music,; PROPERTY-RIGHTS; PATENTS; INNOVATION; IMPACT,"This paper uses data from an online database of music sampling to estimate the effect of copyright protection on the cumulative use of music. Using unique panel data that link upstream and downstream music, I use regression analysis to examine the rates at which early 20th-century musical works were used throughout the 20th and 21st centuries. The results suggest that copyright protection causes an upstream work to be used less than half as often as it would be if it were in the public domain after conditioning on upstream-song and downstream-year fixed effects. Placebo regressions in which the copyright expiration date is artificially shifted forward and backward in time by 2, 5, and 10 years suggest an immediate effect of copyright expiration on downstream use.",2018,Government & Law
How will recent trade agreements that extend market protections for brand-name prescription pharmaceuticals impact expenditures and generic access in Canada?,Pharmaceutical policy; Globalization and health; Health care reform; Drug pricing; Health spending; International trade; Patents; Data exclusivities; Health law; EXCLUSIVITY; DRUGS; TIME,"Canada recently entered into two multinational trade agreements (i.e., the Canada, United States, and Mexico Trade Agreement: and the Comprehensive Economic and Trade Agreement with the European Union). The resulting federal policy changes will prolong periods of market protection afforded to eligible brand-name prescription drugs by extending competition-blocking patent and data exclusivity terms. While previous studies have analysed these two policy changes in isolation, it remains unknown what the total combined impact will be in a typical year. Our objective was to design an analytic approach that can assess more than one change to a country's market protections and then to apply this methodology to the Canadian context. We find that the collective impact of these policy changes will be to extend the regulatory protection period for new drugs from an average of 10.0 years to 11.1 years. Depending upon the model's assumptions and all contingencies considered, an 11% increase equated to an average of $410 million annually (with a minimum estimate of $40 million and a maximum of $1.4 billion). Despite this uncertainty reflected in the range of possible financial impacts, we conclude that such methodological approaches could be useful for rapidly evaluating potential policy changes prior to adoption, which may further assist in budget planning to mitigate increased cost to the downstream health authorities most impacted by these trade concessions. (C) 2019 Elsevier B.V. All rights reserved.",2019,Health Care Sciences & Services
"The 'Reasonable Man', his Nineteenth-century 'Siblings', and their Legacy",; ,"The reasonable man is the best known, but not the only, legal construct to be born into the nineteenth-century common law. This article introduces the man's siblings including those from the areas of trust law, criminal law, contract law, and intellectual property law (both patents and trademarks). The fact that some of these 'men' changed the law is not controversial: this research firrther highlights that while several of these came to life in that century, only some had a significant role into the twentieth century. Those that did are tied to the foundations of our society through their role in facilitating innovation and consumer protection. The argument is that it was the constructs' nature and their capacity to accommodate public policy issues that enabled the vitality of the 'reasonable person' (negligence) and the Person skilled in the art' (patents).",2017,Government & Law; Sociology
Corporate governance and innovation: does firm age matter?,; RESEARCH-AND-DEVELOPMENT; MOTIVATING INNOVATION; INVESTOR PROTECTION; PATENT STATISTICS; CASH FLOW; CONSEQUENCES; SHAREHOLDERS; PERFORMANCE; INDICATORS; KNOWLEDGE,"This article investigates the relationship between corporate governance (CG) and innovation for firms of different ages. We blend data drawn from the ISS RiskMetrics and the Bureau van Dijk Orbis databases to perform micro-econometric analyses on a sample of 2200 listed firms. We show that CG may decrease research and development for all firms and that, more importantly, it has a significant and negative effect on the patenting strategy of the younger firms. Our results are consistent with the CG life cycle view, according to which young companies tend to privilege short-termism and value preservation rather than long-term risky innovation strategies. What shown and discussed in this contribution supports the proposition that firm age matters in how CG may alter innovation.",2018,Business & Economics
Effects and Perspectives of Chinese Patent Medicines for Tonifying Qi and Promoting Blood Circulation on Patients with Cerebral Infarction,Cerebral infarction; tonifying qi and promoting blood circulation; chinese patent medicine; review; STROKE; METAANALYSIS,"Background and Objectives: Stroke is a disease with high morbidity, disability, and fatality. Since ischemic stroke is the most common kind of stroke, increasing attention has been paid to its prevention and treatment. Given the limitations of conventional medicine, there is growing interest in Chinese Medicine (CM), especially Chinese Patent Medicine (CPM) for its convenience and stability. Studies of CM show that Chinese Patent Medicines for Tonifying Qi and Promoting Blood Circulation (CPMs-TQPBC) are one of the most common and effective categories of all clinical CPMs in China. Methods: This review investigated and summarized the randomized controlled trials (RCT) of CPMs-TQPBC combined with conventional interventions in the last 10 years. Results: Trial results demonstrated the potential in reducing the endpoints and improving neurologic impairments, body movements, Barthel index, quality of life, and certain biomarkers. Furthermore, certain CM syndromes were alleviated with rare adverse events. Advantages of interventions combined with CPMs-TQPBC for patients with cerebral infarction were discovered. Compared with the Chinese patent medicines for promoting blood circulation (CPMs-PBC) alone, CPMs for both tonifying qi and promoting blood circulation exhibited noticeably better effects. The underlying reasons could be related to the improvement of microcirculation in the brain, protection against ischemic reperfusion injury, generation of neuroprotective factors, and inhibition of apoptosis. Conclusion: Under the circumstances of qi deficiency and blood stasis syndrome (QDBSS) (Qixu-Xueyu Zheng), CPMs-TQPBC showed a substantial difference. More trials focusing on specific patient groups should be carried out to corroborate and expand the findings.",2015,Pharmacology & Pharmacy; Cardiovascular System & Cardiology
"Worldwide venture capital, intellectual property rights, and innovation",; PROTECTION; DISCLOSURE; IMPACT; FIRMS,"This study, based on the historical data of venture capital (VC) investment and patenting for 99 countries and 83 industries, explores the effects of VC investment on firms' innovation in different intellectual property rights (IPR) environments worldwide, utilizing large data sets and various empirical models. Our negative binomial and panel data analysis presents the significant and positive impacts of VC investment and IPR parameters on firms' innovation, controlling for cultural, regulatory, and economic and market conditions of the business environment. However, VC investment is more effective in weaker IPR environments. This effect is robust to a number of different specifications for endogeneity, among other things. The economic effect is pronounced: the impact of VC on patents is up to five times more pronounced between the weakest and strongest IPR regime in the sample.",2017,Business & Economics
Does intellectual property right promote innovations when pirates are innovators?,Intellectual Property Rights; R&D incentive of imitators; RESEARCH-AND-DEVELOPMENT; DEVELOPING-COUNTRIES; PATENTS; IMITATION,"We identify two new channels through which Intellectual Property Rights (IPRs) may affect R&D incentives that are in stark contrast to conventional wisdom. First, in a model with a simple technology we find that IPRs may deter innovations when pirates are potential innovators. Second, in a model with a complex technology we find that IPR, even in a static situation, increases consumer surplus. We show that strong IPRs lead not only to the decrease in the competition effect, but also the increase in the innovation effect in the current period when there exists international specialization in R&D. When innovation effect dominates competition effect, the strengthening of patent protection promotes both innovation and consumer surplus. (C) 2014 Elsevier Inc. All rights reserved.",2015,Business & Economics
"Intellectual property rights, distance to the frontier, and R&D: evidence from microdata",IPR protection; Technological frontier; Innovation; R&D; Transition economies; INNOVATION; PROTECTION; DETERMINANTS; SPILLOVERS; COUNTRIES; PRODUCTIVITY; TRANSITION; KNOWLEDGE; PATENTS; POLICY,"Using firm-level data for 28 transition countries in Eastern Europe and Central Asia over the 2002-2009 period, this paper analyzes whether differences in the functioning of intellectual property rights (IPRs) systems-measured along various dimensions, including de facto enforcement and de jure patent and copyright protection-affect a firm's propensity to engage in R&D activities. We estimate the likelihood of engaging in R&D as a function of a firm's distance from the relevant technological frontier and of the country's IPRs system. In line with previous literature, we find that (i) firms closer to the technological frontier are more likely to engage in formal R&D activities and (ii) stronger IPRs systems, because they protect returns from R&D activities from imitation, are more effective in promoting investment in R&D. Moreover, when the strength of an IPRs system interacts with the distance to the technological frontier, its effect is no longer significant, ceteris paribus. This is the most striking result of our study. When we examine the semi-elasticity of the strength of IPRs with respect to a firm's distance from the technological frontier, a weak yet positive impact on the firm's likelihood to engage in R&D is observed for very inefficient ones, whereas this becomes negative and weakly significant when firms are on the technological frontier.",2016,Business & Economics
"Intellectual Property Rights, FDI, R&D and Economic Growth: A Cross-country Empirical Analysis",; PANEL-DATA; PRODUCTIVITY GROWTH; TECHNOLOGY FLOWS; PATENT RIGHTS; UNIT-ROOT; PROTECTION; INNOVATION; TRADE; TESTS,"This paper aims to empirically examine how intellectual property rights (IPRs) protection, foreign direct investment (FDI) and research and development (R&D), along with other possible variables, may affect the economic growth of the host country. Using the panel data of 92 countries during 1970-2007, I conclude from the system generalised method of moments estimation that domestic investment share, FDI, R&D capacity, openness to trade, human capital and IPRs protection all have statistically significant and positive impacts on economic growth. A further investigation of countries at different levels of development suggests two striking findings. First, besides the domestic investment, openness, human capital and IPRs protection, R&D is the key to drive economic growth in the higher-income countries, while FDI is the engine of growth in both higher-income and middle-income countries. Second, a positive and significant impact of IPRs protection on economic growth is found in both higher-income and lower-income countries. However, such an impact is not detected in the middle-income countries.",2016,Business & Economics; International Relations
Foreign Direct Investment and Intellectual Property Rights: International Intangible Assets in Spain over the Long Term,; PATENT PROTECTION; INNOVATION; IMPACT,"This article reflects on foreign direct investment (FDI) and intellectual property rights (IPRs) over the long term, and analyzes the case of Spain during the nineteenth and twentieth centuries. Although the interactions between IPRs and FDI have attracted significant research efforts in distinct economic and business areas, the results lack permanent answers. Our findings demonstrate that, from a macro-level perspective: (1) FDI and IPRs are effectively related over the long term; (2) weak IPR protection does not seem to have stopped FDI; and (3) the countries with major FDI in Spain were less worried about IPR management than were other countries with less FDI.",2017,Business & Economics; Social Sciences - Other Topics
SOME EFFECTS OF INTELLECTUAL PROPERTY PROTECTION ON NATIONAL ECONOMIES: THEORETICAL AND ECONOMETRIC STUDY,intellectual property; economic theory; dynamic panel; FOREIGN DIRECT-INVESTMENT; GLOBAL PATENT PROTECTION; GROWTH; RIGHTS,"This paper aims to theoretically derive and afterwards econometrically assess the impact of intellectual property protection (IPP) on national economies. The authors' main hypothesis is that by creating a form of non-market protection, IPP limits free competition and has no positive effects on national economies and the world economy in general. The hypothesis is tested through estimation of relationship between charges for the use of intellectual property and 1) gross domestic product, 2) GDP growth, 3) unemployment, 4) exports of high-tech products, 5) FDI outflow, and 6) expenses on research and development in a panel dataset of 146 countries in years 2005-2014 based Arellano-Bond estimator for dynamic panel models. The data tells us that changes in these charges have not a significant impact on the studied indicators, which counts against claims of positive impact of IPP on economies and growth.",2018,Business & Economics
Crop Protection Discovery: Is Being the First Best?,agrochemical discovery; crop protection compounds; pesticide; NATURAL-PRODUCTS; AGROCHEMICAL DISCOVERY; INSECTICIDE DISCOVERY; FOOD SECURITY; CHALLENGES; RESISTANCE; CHEMISTRY; MIMICS; MODE,"Current crop protection chemicals span an array of chemistry classes and modes of action. Typically, within each chemistry class, there are multiple chemically distinct active ingredients competing with each other for market position. In this competition, the first product to market in a new class or mode of action may or may not have an advantage depending upon a number of parameters, including relative efficacy against the target pests, pest resistance, regulatory pressures, synthetic complexity, and marketing effectiveness. The number of companies involved in the discovery of new crop protection compounds has been declining, and patenting strategies have become more sophisticated, making it more challenging to break into an existing area of chemistry. One result is new classes of chemistry tend to be smaller, making first to market more beneficial than in the past. Additionally, the first into a market with a new class of chemistry has the opportunity to set positioning and expectations.",2018,Agriculture; Chemistry; Food Science & Technology
